lambda,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_sparsity_percent
0.0001,1,772.913953092448,0.33413333333863154,756.547438671875,0.408,0.0
0.0001,2,739.0229658528646,0.40357777778307596,719.678915625,0.4528,0.0
0.0001,3,704.0947926106771,0.4330666666454739,687.4776658203125,0.4858,0.0
0.0001,4,678.4512624457466,0.454244444460339,669.0817150390625,0.498,0.0
0.0001,5,666.6041860894097,0.4748888888994853,663.9633147460937,0.521,0.0
0.001,1,7711.332266666666,0.33495555557674833,7548.42646796875,0.4152,0.0
0.001,2,7372.430053472222,0.3977333333545261,7179.43022265625,0.4554,0.0
0.001,3,7022.51696015625,0.43088888888359067,6856.93931484375,0.4878,0.0
0.001,4,6765.714721267361,0.45326666667726306,6672.62181015625,0.5082,0.0
0.001,5,6647.183718142361,0.47466666668785945,6621.59127578125,0.5234,0.0
0.01,1,77096.09394861112,0.3341777777671814,75468.3184125,0.4324,0.0
0.01,2,73707.83111805556,0.404244444460339,71778.574875,0.447,0.0
0.01,3,70208.74390833333,0.43506666666666666,68553.7732125,0.4886,0.0
0.01,4,67640.75730694445,0.45262222223811677,66710.7419625,0.5034,0.0
0.01,5,66455.65010972222,0.47337777779367235,66200.5849375,0.5222,0.0
